,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
249,Vivo v23 ,VIvo,v23,4200,8000,128,64,50,2,Yes,29749
250,Poco f4,Poco,f4,4500,6000,128,64,20,2,Yes,27999
251,Samsung galaxy a52s,Samsung,a52s,4500,6000,128,64,32,2,Yes,24494
252,Xiaomi redmi note 10s,Xiaomi,redmi note 10s,5000,6000,128,64,13,2,Yes,13999
253,Samsung galaxy m52,Samsung,galaxy m52,5000,6000,128,64,32,2,Yes,29999
254,Vivo v20,VIvo,v20,4000,8000,128,64,44,2,Yes,18994
255,Xiaomi mi 11t pro,Xiaomi,mi 11t pro,5000,8000,256,108,16,2,Yes,34999
256,Realme 8,realme,8,5000,4000,64,64,16,2,Yes,15999
257,Xiaomi 11 lite ne,Xiaomi,11 lite ne ,4250,6000,128,64,20,2,Yes ,23999
258,Oppo reno 6 ,Oppo,reno6,4300,8000,256,64,32,2,Yes,29990
259,Samsung galaxy f62,Samsung,galaxy f62,7000,6000,128,64,32,2,Yes,23999
260,Vivo v23 pro,VIvo,v23 pro,4300,8000,128,108,50,2,Yes,34330
261,Xiaomi 11i hypercharge,Xiaomi,11i hypercharge,4500,6000,128,108,16,2,Yes,24469
262,Realme 8s,realme,8s,5000,6000,128,64,16,2,Yes,16999
263,Motorola edge 20 fusion,Motorola,edge 20 fusion,5000,6000,128,108,32,2,Yes,23999
264,Motorola g60,Motorola,g60,6000,6000,128,108,32,2,Yes,16660
265,Vivo v21,VIvo,v21,4000,8000,128,64,44,2,Yes,24990
266,Samsung a52,Samsung,a52,4500,6000,128,64,32,2,Yes,20999
267,Oppo reno 6 pro,Oppo,reno 6 pro,4500,12000,256,64,32,2,Yes,37499
268,Oppo reno 7,Oppo,reno 7,4500,8000,128,64,32,2,Yes,28999
269,realme x7 max,realme,x7 max,4500,6000,128,64,16,2,Yes,27000
270,Realme gt neo 2,realme,gt neo 2,5000,8000,128,64,16,2,Yes,29990
271,Samsung a71,Samsung,galaxy a71,4500,8000,128,64,32,2,Yes,24494
272,samsung galaxy f41,Samsung,galaxy f41,6000,6000,128,64,32,2,Yes,20999
273,realme 7 pro,realme,7 pro,4500,6000,128,64,32,2,Yes,19999
274,Xiaomi redmi note 9 pro max,Xiaomi,redmi note 9 pro max,5020,6000,128,64,32,2,Yes,16924
275,Motorola edge 20 ,Motorola,edge 20  ,4000,8000,128,108,32,2,Yes,27999
276,Xiaomi redmi note 8 pro,Xiaomi,redmi note 8 pro,4500,6000,128,64,20,2,Yes,13990
277,Oppo reno5 pro,Oppo,reno 5 pro,4350,8000,256,64,32,2,Yes,35990
278,samsung galaxy a72,Samsung,galaxy a72,5000,8000,128,64,32,2,Yes,28994
279,realme x7 pro,realme,x7 pro,4500,8000,128,64,32,2,Yes,29999
280,Motorola edge plus,Motorola,edge plus,5000,12000,256,108,25,2,Yes,65999
281,xiaomi mi 10t,Xiaomi,mi 10t,5000,6000,128,64,20,2,Yes,24999
282,xiaomi mi 11x pro,Xiaomi,mi 11x pro,4520,8000,256,108,20,2,Yes,36999
283,Asus rog phone 3,Asus,rog phone 3,6000,8000,256,64,24,2,Yes,46999
284,Lg wing ,Lg,wing,4000,8000,256,64,32,2,Yes,80000
285,Asus rog phone 5s,Asus,rog phone 5s,6000,12000,256,64,24,2,Yes,57999
286,Xiaomi mi 10t,Xiaomi,mi 10 ,4780,8000,256,108,20,2,Yes,54999
287,realme x50 pro,realme,x50 pro,4200,12000,256,64,32,2,Yes,47999
288,Samsung galaxy a73,Samsung,galaxy a73,5000,8000,256,108,32,2,Yes,44990
289,xiaomi mi 11i,Xiaomi,mi 11i,5160,8000,128,108,16,2,Yes,26500
