,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
136,Micromax Dual 5,Micromax,Dual 5,3200,4000,128,13,13,2,Yes,13999
137,Vivo Y17,Vivo,Y17,5000,4000,128,13,20,2,No,11490
138,Samsung Galaxy J6+,Samsung,Galaxy J6+,3300,4000,64,13,8,1,No,11999
139,Motorola One,Motorola,One,3000,4000,64,13,8,1,No,9490
140,Vivo Y83 Pro,Vivo,Y83 Pro,3260,4000,64,13,8,1,No,13950
141,Motorola One Macro,Motorola,One Macro,4000,4000,64,13,8,2,Yes,8999
142,BlackBerry KEY2 LE,BlackBerry,KEY2 LE,3000,4000,64,13,8,2,Yes,22990
143,Moto E6s,Motorola,Moto E6s,3000,4000,64,13,8,2,Yes,6999
144,Panasonic Eluga Ray 800,Panasonic,Eluga Ray 800,4000,4000,64,13,8,2,Yes,6488
145,Panasonic Eluga Z1 Pro,Panasonic,Eluga Z1 Pro,4000,4000,64,13,8,2,Yes,8490
146,Samsung Galaxy On6,Samsung,Galaxy On6,3000,4000,64,13,8,2,Yes,17600
147,Nokia 8,Nokia,8,3090,4000,64,13,13,2,Yes,14994
148,Coolpad Cool 5,Coolpad,Cool 5,4000,4000,64,13,16,1,No,6999
149,BlackBerry Evolve,BlackBerry,Evolve,4000,4000,64,13,16,1,No,13999
150,Vivo V9 Pro,Vivo,V9 Pro,3260,4000,64,13,16,2,Yes,16490
151,Oppo F3,Oppo,F3,3200,4000,64,13,16,2,Yes,11990
152,Nubia M2,Nubia,M2,3630,4000,64,13,16,2,Yes,12990
153,Oppo F1 Plus,Oppo,F1 Plus,2850,4000,64,13,16,2,Yes,17990
154,Lenovo K10 Plus,Lenovo,K10 Plus,4050,4000,64,13,16,2,Yes,10999
155,LG W30 Pro,LG,W30 Pro,4050,4000,64,13,16,2,Yes,12480
156,Nubia N2,Nubia,N2,5000,4000,64,13,16,2,Yes,9049
157,Vivo X7,Vivo,X7,3000,4000,64,13,16,2,Yes,9999
158,Vivo Y95,Vivo,Y95,4030,4000,64,13,20,1,No,10499
159,Vivo V5s,Vivo,V5s,3000,4000,64,13,20,2,Yes,12990
160,Coolpad Cool Play 6,Coolpad,Cool Play 6,4060,6000,64,13,8,2,Yes,8999
161,Honor 8C,Honor,8C,4000,4000,32,13,8,2,Yes,7999
327,Meizu M16th,Meizu,M16th,3010,8000,128,12,20,2,Yes,19990
328,Meizu 16,Meizu,16,3010,6000,64,12,20,2,Yes,19490
753,Infinix Hot S3,Infinix,Hot S3,4000,3000,32,13,20,2,Yes,9999
162,Asus ZenFone 3 Laser,Asus,ZenFone 3 Laser,3000,4000,32,13,8,2,Yes,5499
163,Vivo V3Max,Vivo,V3Max,3000,4000,32,13,8,2,Yes,17979
756,Gionee A1 Plus,Gionee,A1 Plus,4550,4000,64,13,20,2,Yes,994
164,Coolpad Note 6,Coolpad,Note 6,4070,4000,32,13,8,2,Yes,6999
759,Gionee A1 Lite,Gionee,A1 Lite,4000,3000,32,13,20,2,Yes,4999
165,Oppo A5,Oppo,A5,4230,4000,32,13,8,2,Yes,8990
862,Tecno Camon iClick,Tecno,Camon iClick,3750,4000,64,16,20,2,Yes,7420
166,Vivo Y83,Vivo,Y83,3260,4000,32,13,8,2,Yes,10399
167,Samsung Galaxy J7 Duo,Samsung,Galaxy J7 Duo,3000,4000,32,13,8,2,No,10640
168,Coolpad Note 5,Coolpad,Note 5,4010,4000,32,13,8,2,Yes,12050
169,Samsung Galaxy On Max,Samsung,Galaxy On Max,3300,4000,32,13,13,2,Yes,9890
170,Samsung Galaxy J7 Max,Samsung,Galaxy J7 Max,3300,4000,32,13,13,2,Yes,11046
171,Vivo V5,Vivo,V5,3000,4000,32,13,20,2,Yes,16541
172,Google Pixel XL,Google,Pixel XL,3450,4000,32,12.3,8,1,Yes,30990
173,Google Pixel,Google,Pixel,2770,4000,32,12.3,8,1,Yes,22299
174,Google Pixel 3 XL,Google,Pixel 3 XL,3430,4000,64,12.2,8,1,Yes,47990
175,Google Pixel 3,Google,Pixel 3,2915,4000,64,12.2,8,1,Yes,37999
176,Google Pixel 3a XL,Google,Pixel 3a XL,3700,4000,64,12.2,8,1,Yes,34999
177,Google Pixel 3a,Google,Pixel 3a,3000,4000,64,12.2,8,1,Yes,30999
178,Google Pixel 2 XL,Google,Pixel 2 XL,3520,4000,64,12.2,8,1,Yes,12994
179,Google Pixel 2,Google,Pixel 2,2700,4000,64,12.2,8,1,Yes,9994
180,Samsung Galaxy Z Flip,Samsung,Z Fold,3300,8000,256,12,10,1,No,174990
181,Samsung Galaxy Note 10,Samsung,Galaxy Note 10,3500,8000,256,12,10,2,Yes,69999
182,Samsung Galaxy Note 10+,Samsung,Galaxy Note 10+,4300,12000,256,12,10,2,Yes,79699
183,Motorola One Action,Motorola,One Action,3500,4000,128,12,12,2,Yes,9999
